id,tagName
1,Self-enabling
2,real-time
3,Diverse
4,User-centric
5,Enhanced
6,Object-based
7,projection
8,implementation
9,Re-engineered
10,multimedia
11,initiative
12,approach
13,Assimilated
14,Exclusive
15,context-sensitive
16,systematic
17,holistic
18,moratorium
19,Customer-focused
20,Mandatory
21,Visionary
22,full-range
23,Configurable
24,coherent
25,product
26,groupware
27,attitude-oriented
28,content-based
29,hierarchy
30,Grass-roots
31,Ergonomic
32,Operative
33,application
34,incremental
35,data-warehouse
36,coherent
37,Grass-roots
38,Business-focused
39,Ergonomic
40,Secured
41,discrete
42,Centralized
43,Right-sized
44,approach
45,Switchable
46,Networked
47,clear-thinking
48,superstructure
49,orchestration
50,tangible
51,framework
52,Diverse
53,attitude
54,Networked
55,bandwidth-monitored
56,strategy
57,multimedia
58,neutral
59,Vision-oriented
60,Cross-group
61,Enterprise-wide
62,tertiary
63,incremental
64,Distributed
65,explicit
66,reciprocal
67,modular
68,Polarised
69,Customer-focused
70,projection
71,next generation
72,context-sensitive
73,discrete
74,real-time
75,Grass-roots
76,reciprocal
77,tertiary
78,disintermediate
79,Centralized
80,toolset
81,emulation
82,solution
83,implementation
84,access
85,Automated
86,Realigned
87,archive
88,systematic
89,didactic
90,Profit-focused
91,archive
92,time-frame
93,Robust
94,asynchronous
95,Profit-focused
96,toolset
97,Versatile
98,Up-sized
99,Ergonomic
100,Upgradable
101,solution-oriented
102,implementation
103,responsive
104,explicit
105,array
106,customer loyalty
107,database
108,human-resource
109,reciprocal
110,contingency
111,Devolved
112,Digitized
113,Stand-alone
114,project
115,Extended
116,capability
117,Re-contextualized
118,Streamlined
119,national
120,portal
121,neural-net
122,6th generation
123,complexity
124,static
125,challenge
126,Inverse
127,heuristic
128,grid-enabled
129,monitoring
130,matrix
131,Horizontal
132,pricing structure
133,human-resource
134,task-force
135,Open-source
136,function
137,national
138,functionalities
139,Reactive
140,Up-sized
141,conglomeration
142,orchestration
143,scalable
144,Front-line
145,Adaptive
146,standardization
147,Integrated
148,Polarised
149,Object-based
150,Graphical User Interface
151,system-worthy
152,ability
153,multimedia
154,client-server
155,framework
156,multi-state
157,neutral
158,Innovative
159,Progressive
160,system engine
161,zero administration
162,Implemented
163,process improvement
164,hub
165,hybrid
166,didactic
167,service-desk
168,fault-tolerant
169,open system
170,Mandatory
171,encryption
172,open architecture
173,instruction set
174,local
175,conglomeration
176,Re-contextualized
177,dynamic
178,implementation
179,software
180,Reactive
181,Programmable
182,Enterprise-wide
183,synergy
184,Realigned
185,zero administration
186,De-engineered
187,Function-based
188,tangible
189,initiative
190,architecture
191,workforce
192,Digitized
193,benchmark
194,strategy
195,incremental
196,Compatible
197,attitude
198,national
199,data-warehouse
200,systemic
201,actuating
202,collaboration
203,Future-proofed
204,Face to face
205,Focused
206,conglomeration
207,Total
208,definition
209,Total
210,Advanced
211,Multi-layered
212,well-modulated
213,customer loyalty
214,internet solution
215,open architecture
216,access
217,model
218,Universal
219,task-force
220,solution
221,approach
222,content-based
223,bandwidth-monitored
224,monitoring
225,success
226,knowledge base
227,uniform
228,encoding
229,protocol
230,neural-net
231,instruction set
232,Public-key
233,Inverse
234,parallelism
235,solution-oriented
236,transitional
237,uniform
238,website
239,methodical
240,heuristic
241,initiative
242,synergy
243,interface
244,neutral
245,functionalities
246,workforce
247,bandwidth-monitored
248,static
249,Decentralized
250,Configurable
251,Virtual
252,Devolved
253,Business-focused
254,Exclusive
255,open system
256,protocol
257,initiative
258,grid-enabled
259,client-server
260,Multi-layered
261,service-desk
262,grid-enabled
263,open system
264,Compatible
265,Fundamental
266,Up-sized
267,Inverse
268,Devolved
269,secondary
270,user-facing
271,Configurable
272,Fundamental
273,solution
274,optimizing
275,real-time
276,protocol
277,context-sensitive
278,object-oriented
279,Focused
280,process improvement
281,algorithm
282,focus group
283,regional
284,Customizable
285,strategy
286,hybrid
287,Configurable
288,knowledge base
289,groupware
290,knowledge user
291,directional
292,website
293,Face to face
294,web-enabled
295,protocol
296,fault-tolerant
297,Visionary
298,Reverse-engineered
299,systematic
300,bifurcated
301,support
302,service-desk
303,Devolved
304,mission-critical
305,Implemented
306,non-volatile
307,explicit
308,access
309,Exclusive
310,Sharable
311,homogeneous
312,systemic
313,solution-oriented
314,toolset
315,extranet
316,circuit
317,core
318,Adaptive
319,Expanded
320,asymmetric
321,actuating
322,projection
323,groupware
324,Universal
325,collaboration
326,Up-sized
327,local
328,extranet
329,structure
330,multimedia
331,Streamlined
332,multi-state
333,Programmable
334,alliance
335,Centralized
336,firmware
337,Ameliorated
338,Customizable
339,radical
340,moderator
341,customer loyalty
342,Team-oriented
343,function
344,high-level
345,Pre-emptive
346,Mandatory
347,actuating
348,Organic
349,help-desk
350,Ameliorated
351,website
352,Realigned
353,internet solution
354,5th generation
355,holistic
356,actuating
357,data-warehouse
358,Proactive
359,Right-sized
360,zero administration
361,Enterprise-wide
362,support
363,policy
364,Multi-tiered
365,Reduced
366,Grass-roots
367,budgetary management
368,even-keeled
369,impactful
370,open system
371,tangible
372,didactic
373,transitional
374,secured line
375,regional
376,mobile
377,firmware
378,Object-based
379,migration
380,benchmark
381,national
382,context-sensitive
383,local area network
384,Streamlined
385,migration
386,matrices
387,Fully-configurable
388,well-modulated
389,bottom-line
390,ability
391,challenge
392,implementation
393,Grass-roots
394,Innovative
395,Exclusive
396,bi-directional
397,system engine
398,impactful
399,secured line
400,cohesive
401,hybrid
402,secured line
403,directional
404,Cloned
405,implementation
406,zero tolerance
407,Inverse
408,fresh-thinking
409,Inverse
410,zero defect
411,Pre-emptive
412,directional
413,Compatible
414,client-server
415,core
416,product
417,regional
418,toolset
419,zero administration
420,Automated
421,frame
422,groupware
423,responsive
424,emulation
425,modular
426,synergy
427,Ameliorated
428,hybrid
429,interface
430,customer loyalty
431,mission-critical
432,solution
433,budgetary management
434,contingency
435,analyzing
436,system-worthy
437,empowering
438,Persistent
439,Ameliorated
440,systemic
441,User-friendly
442,superstructure
443,Grass-roots
444,collaboration
445,cohesive
446,real-time
447,next generation
448,function
449,circuit
450,Ameliorated
451,info-mediaries
452,grid-enabled
453,Intuitive
454,forecast
455,Phased
456,interface
457,demand-driven
458,modular
459,leading edge
460,Inverse
461,project
462,access
463,parallelism
464,Persevering
465,Integrated
466,customer loyalty
467,methodical
468,application
469,exuding
470,Function-based
471,static
472,fault-tolerant
473,neural-net
474,customer loyalty
475,interface
476,framework
477,Organized
478,optimizing
479,cohesive
480,structure
481,Intuitive
482,cohesive
483,incremental
484,Intuitive
485,Profit-focused
486,function
487,Multi-lateral
488,Cross-platform
489,functionalities
490,Devolved
491,homogeneous
492,Re-contextualized
493,project
494,User-centric
495,Reduced
496,foreground
497,encoding
498,Diverse
499,productivity
500,Stand-alone
501,methodology
502,complexity
503,bi-directional
504,synergy
505,Multi-tiered
506,Managed
507,Public-key
508,solution-oriented
509,projection
510,workforce
511,utilisation
512,Operative
513,modular
514,policy
515,hierarchy
516,eco-centric
517,Proactive
518,grid-enabled
519,Enhanced
520,Vision-oriented
521,standardization
522,Cloned
523,flexibility
524,orchestration
525,3rd generation
526,database
527,Integrated
528,upward-trending
529,Phased
530,leading edge
531,bifurcated
532,Polarised
533,Innovative
534,mobile
535,actuating
536,impactful
537,Quality-focused
538,Distributed
539,migration
540,Total
541,value-added
542,Object-based
543,Mandatory
544,Expanded
545,mobile
546,portal
547,zero defect
548,5th generation
549,Centralized
550,application
551,instruction set
552,composite
553,standardization
554,standardization
555,asymmetric
556,Organic
557,frame
558,database
559,local
560,groupware
561,system-worthy
562,Organic
563,policy
564,orchestration
565,Pre-emptive
566,Multi-layered
567,budgetary management
568,content-based
569,incremental
570,data-warehouse
571,Horizontal
572,client-driven
573,Ameliorated
574,instruction set
575,holistic
576,artificial intelligence
577,actuating
578,tangible
579,4th generation
580,Fully-configurable
581,knowledge user
582,systemic
583,motivating
584,Stand-alone
585,asynchronous
586,attitude
587,Business-focused
588,full-range
589,software
590,Balanced
591,Customizable
592,implementation
593,methodology
594,Multi-tiered
595,portal
596,regional
597,didactic
598,multi-state
599,Robust
600,Progressive
601,solution-oriented
602,attitude-oriented
603,user-facing
604,knowledge user
605,Multi-channelled
606,data-warehouse
607,adapter
608,application
609,forecast
610,project
611,system-worthy
612,paradigm
613,methodology
614,radical
615,Organized
616,concept
617,policy
618,full-range
619,Self-enabling
620,encoding
621,motivating
622,orchestration
623,tertiary
624,hierarchy
625,24 hour
626,attitude-oriented
627,multi-state
628,De-engineered
629,Exclusive
630,Organized
631,framework
632,orchestration
633,open system
634,Multi-lateral
635,full-range
636,Quality-focused
637,executive
638,Multi-lateral
639,Innovative
640,directional
641,static
642,mission-critical
643,Centralized
644,application
645,monitoring
646,toolset
647,grid-enabled
648,tangible
649,didactic
650,didactic
651,Switchable
652,optimal
653,Exclusive
654,bottom-line
655,Robust
656,Ergonomic
657,capability
658,explicit
659,actuating
660,Focused
661,neural-net
662,global
663,secondary
664,capacity
665,Synergized
666,didactic
667,Implemented
668,Phased
669,Upgradable
670,Distributed
671,application
672,benchmark
673,intangible
674,Reduced
675,core
676,standardization
677,transitional
678,Phased
679,monitoring
680,Organized
681,homogeneous
682,Reduced
683,analyzer
684,Up-sized
685,homogeneous
686,Customizable
687,time-frame
688,optimizing
689,Realigned
690,Centralized
691,flexibility
692,Implemented
693,Reverse-engineered
694,tertiary
695,infrastructure
696,challenge
697,focus group
698,contextually-based
699,Triple-buffered
700,Managed
701,hub
702,optimal
703,database
704,web-enabled
705,hardware
706,non-volatile
707,eco-centric
708,background
709,contextually-based
710,context-sensitive
711,Pre-emptive
712,Customizable
713,bifurcated
714,software
715,groupware
716,Graphical User Interface
717,transitional
718,focus group
719,directional
720,executive
721,client-driven
722,bandwidth-monitored
723,conglomeration
724,Innovative
725,heuristic
726,algorithm
727,transitional
728,interactive
729,global
730,Synergistic
731,multi-state
732,Customizable
733,hub
734,Multi-channelled
735,Mandatory
736,disintermediate
737,Innovative
738,Switchable
739,interface
740,support
741,workforce
742,24 hour
743,methodical
744,Graphic Interface
745,Enterprise-wide
746,secondary
747,dynamic
748,Stand-alone
749,Right-sized
750,leading edge
751,customer loyalty
752,5th generation
753,analyzer
754,value-added
755,hardware
756,maximized
757,responsive
758,local area network
759,directional
760,Team-oriented
761,Extended
762,web-enabled
763,De-engineered
764,extranet
765,workforce
766,local area network
767,background
768,extranet
769,contingency
770,optimal
771,Face to face
772,Seamless
773,Organic
774,Synergized
775,synergy
776,disintermediate
777,Re-contextualized
778,contextually-based
779,content-based
780,archive
781,Upgradable
782,Configurable
783,24 hour
784,functionalities
785,Versatile
786,transitional
787,capacity
788,Distributed
789,bifurcated
790,Profound
791,adapter
792,Switchable
793,disintermediate
794,modular
795,hybrid
796,Customizable
797,functionalities
798,attitude-oriented
799,directional
800,exuding
801,national
802,artificial intelligence
803,Triple-buffered
804,Automated
805,impactful
806,methodology
807,solution
808,Advanced
809,intangible
810,Vision-oriented
811,Digitized
812,approach
813,Function-based
814,methodical
815,database
816,emulation
817,Stand-alone
818,Inverse
819,Right-sized
820,fresh-thinking
821,Upgradable
822,encompassing
823,algorithm
824,capability
825,function
826,circuit
827,service-desk
828,real-time
829,parallelism
830,modular
831,intermediate
832,holistic
833,model
834,Realigned
835,Pre-emptive
836,explicit
837,regional
838,Proactive
839,Visionary
840,context-sensitive
841,maximized
842,Ergonomic
843,conglomeration
844,cohesive
845,Enterprise-wide
846,definition
847,Profound
848,Re-contextualized
849,Decentralized
850,disintermediate
851,4th generation
852,Integrated
853,coherent
854,Grass-roots
855,transitional
856,disintermediate
857,transitional
858,installation
859,Open-source
860,definition
861,transitional
862,info-mediaries
863,Re-engineered
864,capacity
865,Optimized
866,bifurcated
867,Operative
868,interface
869,5th generation
870,human-resource
871,responsive
872,coherent
873,Universal
874,Synergistic
875,installation
876,Reverse-engineered
877,installation
878,success
879,actuating
880,Streamlined
881,analyzer
882,workforce
883,Phased
884,logistical
885,content-based
886,Horizontal
887,Exclusive
888,Digitized
889,Operative
890,Stand-alone
891,Horizontal
892,Multi-lateral
893,zero defect
894,upward-trending
895,extranet
896,grid-enabled
897,application
898,Face to face
899,actuating
900,complexity
901,definition
902,Down-sized
903,projection
904,upward-trending
905,reciprocal
906,strategy
907,hierarchy
908,standardization
909,value-added
910,throughput
911,Extended
912,client-driven
913,Future-proofed
914,holistic
915,task-force
916,circuit
917,synergy
918,collaboration
919,upward-trending
920,neural-net
921,Ergonomic
922,interactive
923,encompassing
924,asymmetric
925,projection
926,hub
927,object-oriented
928,knowledge user
929,Intuitive
930,ability
931,Secured
932,Expanded
933,multimedia
934,full-range
935,intermediate
936,benchmark
937,pricing structure
938,moratorium
939,Horizontal
940,Progressive
941,stable
942,Expanded
943,Synchronised
944,Graphic Interface
945,national
946,challenge
947,cohesive
948,capacity
949,Sharable
950,Virtual
951,6th generation
952,multi-tasking
953,strategy
954,Ergonomic
955,Enterprise-wide
956,Up-sized
957,Robust
958,fault-tolerant
959,Operative
960,encryption
961,bi-directional
962,Ameliorated
963,Networked
964,function
965,Optional
966,web-enabled
967,moratorium
968,incremental
969,throughput
970,product
971,attitude
972,Team-oriented
973,executive
974,3rd generation
975,interactive
976,incremental
977,Secured
978,circuit
979,User-centric
980,mission-critical
981,Graphic Interface
982,focus group
983,stable
984,Devolved
985,Self-enabling
986,bottom-line
987,full-range
988,maximized
989,asynchronous
990,migration
991,interactive
992,middleware
993,dynamic
994,intranet
995,model
996,Inverse
997,Secured
998,standardization
999,Up-sized
1000,throughput
